Loan_ID,Disbursement_Date,Fiscal_Year,State,State_Tier,Sector,ITC_HS_Chapter,Enterprise_Size,Lending_Bank,Loan_Type,Loan_Amount_INR,Export_Turnover_INR,Turnover_Volatility_Pct,Destination_Country,Destination_Risk,NPA_History,IES_Eligible,Risk_Score,Risk_Tier,IES_Claimed
IES001449,2019-12-12,FY2019-20,Maharashtra,1,Gems & Jewellery,71,Medium,Union Bank of India,Export Bill Discounting,12248842,22796206,8.4,Germany,Low,No,No,0,Low,No
IES001450,2020-11-18,FY2020-21,Telangana,2,Handicrafts,97,Medium,Axis Bank,Pre-Shipment Credit,879231,3228613,51.4,UAE,Low,Yes,Yes,70,High,No
IES001451,2020-05-19,FY2020-21,Gujarat,1,Handicrafts,97,Micro,EXIM Bank of India,Packing Credit,117529,356956,22.4,USA,Low,No,Yes,35,Medium,Yes
IES001452,2020-05-06,FY2020-21,Chhattisgarh,3,Leather & Footwear,41-64,Small,HDFC Bank,Post-Shipment Credit,833343,2187087,36.1,China,Medium,No,Yes,43,Medium,Yes
IES001453,2018-02-02,FY2017-18,Karnataka,1,Chemicals & Pharma,28-30,Small,Bank of India,Post-Shipment Credit,3107647,4993276,54.7,Turkey,Medium,No,Yes,35,Medium,Yes
IES001454,2016-01-01,FY2015-16,Odisha,3,Textiles & Apparel,50-63,Micro,Punjab National Bank,Export Bill Discounting,1009875,2219892,7.7,Sri Lanka,Medium,No,Yes,28,Low,Yes
IES001455,2017-05-22,FY2017-18,Uttar Pradesh,2,Electronic Components,85-90,Medium,Axis Bank,Export Bill Discounting,19332519,48790122,27.2,USA,Low,No,Yes,20,Low,Yes
IES001456,2021-11-16,FY2021-22,Chhattisgarh,3,Handicrafts,97,Micro,Union Bank of India,Export Bill Discounting,175021,617257,30.4,USA,Low,No,Yes,45,Medium,Yes
IES001457,2021-04-22,FY2021-22,Tamil Nadu,1,Marine Products,03,Small,Indian Bank,ECGC-backed Term Loan,752076,2218395,54.3,Vietnam,Low,No,No,40,Medium,No
IES001458,2023-05-17,FY2023-24,West Bengal,2,Agriculture & Food Products,01-24,Small,Axis Bank,Export Factoring,1053751,3966011,17.4,Iran,High,No,Yes,55,Medium,No
IES001459,2018-08-23,FY2018-19,Tamil Nadu,1,Marine Products,03,Micro,Punjab National Bank,ECGC-backed Term Loan,466708,1900711,9.9,Nigeria,High,No,No,50,Medium,No
IES001460,2016-12-08,FY2016-17,Maharashtra,1,Textiles & Apparel,50-63,Micro,HDFC Bank,Export Factoring,941787,3408436,22.3,UK,Low,No,Yes,28,Low,Yes
IES001461,2020-03-16,FY2019-20,West Bengal,2,Handicrafts,97,Micro,Union Bank of India,Pre-Shipment Credit,312328,784565,46.4,Vietnam,Low,No,Yes,45,Medium,No
IES001462,2023-06-28,FY2023-24,Punjab,2,Engineering Goods,84-85,Micro,State Bank of India,Export Bill Discounting,2041999,3066661,20.4,Bangladesh,Medium,No,Yes,30,Medium,Yes
IES001463,2021-12-17,FY2021-22,Uttar Pradesh,2,Chemicals & Pharma,28-30,Micro,Indian Bank,ECGC-backed Term Loan,1211190,2064545,14.4,Singapore,Low,No,No,10,Low,No
IES001464,2022-07-05,FY2022-23,Odisha,3,Agriculture & Food Products,01-24,Micro,Union Bank of India,Packing Credit,372528,1179665,19.6,USA,Low,No,Yes,35,Medium,Yes
IES001465,2021-07-15,FY2021-22,Odisha,3,Textiles & Apparel,50-63,Small,State Bank of India,Post-Shipment Credit,862927,3561916,50.3,Iran,High,No,Yes,58,Medium,Yes
IES001466,2017-10-17,FY2017-18,Madhya Pradesh,2,Agriculture & Food Products,01-24,Micro,SIDBI,Pre-Shipment Credit,319088,950521,21.5,Iran,High,No,Yes,60,High,No
IES001467,2019-11-03,FY2019-20,West Bengal,2,Gems & Jewellery,71,Medium,Indian Bank,ECGC-backed Term Loan,14923804,35730550,21.0,UAE,Low,No,No,20,Low,No
IES001468,2015-10-30,FY2015-16,Madhya Pradesh,2,Plastics & Rubber,39-40,Micro,Union Bank of India,Packing Credit,668963,1333149,44.2,UAE,Low,Yes,Yes,73,High,No
IES001469,2021-04-22,FY2021-22,West Bengal,2,Marine Products,03,Micro,Bank of India,Post-Shipment Credit,381206,713441,8.5,USA,Low,No,Yes,25,Low,Yes
IES001470,2022-05-05,FY2022-23,Gujarat,1,Agriculture & Food Products,01-24,Medium,Bank of India,Export Bill Discounting,1568658,6632738,14.5,USA,Low,No,Yes,15,Low,Yes
IES001471,2019-12-31,FY2019-20,Tamil Nadu,1,Electronic Components,85-90,Medium,Bank of Baroda,Packing Credit,13407283,23242457,52.8,UAE,Low,No,Yes,30,Medium,No
IES001472,2023-12-11,FY2023-24,Gujarat,1,Handicrafts,97,Micro,HDFC Bank,Packing Credit,418954,938827,48.0,Others,Medium,No,Yes,55,Medium,No
IES001473,2017-05-13,FY2017-18,Telangana,2,Textiles & Apparel,50-63,Micro,Axis Bank,Export Bill Discounting,1073406,1652708,30.6,UAE,Low,No,Yes,38,Medium,Yes
IES001474,2016-03-05,FY2015-16,Jharkhand,3,Leather & Footwear,41-64,Micro,Bank of India,Export Bill Discounting,551530,2100406,51.7,Nigeria,High,Yes,Yes,98,High,No
IES001475,2017-09-22,FY2017-18,Haryana,2,Gems & Jewellery,71,Micro,EXIM Bank of India,Packing Credit,3344493,7868096,19.4,Iran,High,No,No,45,Medium,No
IES001476,2021-10-12,FY2021-22,Gujarat,1,Gems & Jewellery,71,Small,Union Bank of India,Post-Shipment Credit,6370794,16762589,24.7,Singapore,Low,No,No,15,Low,No
IES001477,2022-04-13,FY2022-23,Haryana,2,Textiles & Apparel,50-63,Micro,Axis Bank,Export Factoring,634798,2268602,13.4,Vietnam,Low,No,Yes,18,Low,Yes
IES001478,2020-04-30,FY2020-21,Maharashtra,1,Textiles & Apparel,50-63,Small,ICICI Bank,Pre-Shipment Credit,1408455,3423849,30.2,Germany,Low,No,Yes,33,Medium,No
IES001479,2020-04-20,FY2020-21,Gujarat,1,Textiles & Apparel,50-63,Micro,State Bank of India,Packing Credit,837592,2878471,12.8,South Africa,Medium,Yes,Yes,63,High,No
IES001480,2022-01-16,FY2021-22,Maharashtra,1,Leather & Footwear,41-64,Small,State Bank of India,Export Factoring,1450328,4555677,9.4,Nigeria,High,Yes,Yes,73,High,No
IES001481,2023-01-18,FY2022-23,Punjab,2,Gems & Jewellery,71,Medium,SIDBI,Packing Credit,9920924,16066284,18.7,South Africa,Medium,No,No,20,Low,No
IES001482,2023-02-08,FY2022-23,Gujarat,1,Marine Products,03,Small,Canara Bank,Packing Credit,432441,1888447,52.7,Singapore,Low,No,Yes,40,Medium,Yes
IES001483,2017-10-16,FY2017-18,Uttarakhand,3,Chemicals & Pharma,28-30,Medium,State Bank of India,Packing Credit,7340537,14954764,24.6,UK,Low,No,Yes,20,Low,Yes
IES001484,2023-07-26,FY2023-24,Assam,3,Chemicals & Pharma,28-30,Medium,EXIM Bank of India,Post-Shipment Credit,8700927,37791076,12.1,Vietnam,Low,No,Yes,10,Low,Yes
IES001485,2022-11-14,FY2022-23,Chhattisgarh,3,Marine Products,03,Micro,EXIM Bank of India,ECGC-backed Term Loan,352102,1564661,24.1,UK,Low,No,No,35,Medium,No
IES001486,2018-08-04,FY2018-19,Gujarat,1,Leather & Footwear,41-64,Small,Bank of India,ECGC-backed Term Loan,1516396,5801281,22.1,Bangladesh,Medium,No,No,33,Medium,No
IES001487,2023-01-06,FY2022-23,Haryana,2,Plastics & Rubber,39-40,Micro,Punjab National Bank,Post-Shipment Credit,536664,1040088,51.9,UK,Low,No,Yes,38,Medium,Yes
IES001488,2022-09-01,FY2022-23,Odisha,3,Electronic Components,85-90,Micro,Union Bank of India,Post-Shipment Credit,3330487,14164367,49.4,Germany,Low,No,Yes,30,Medium,No
IES001489,2023-11-08,FY2023-24,Gujarat,1,Marine Products,03,Small,Union Bank of India,Packing Credit,1338425,2284839,21.7,USA,Low,No,Yes,30,Medium,No
IES001490,2018-02-23,FY2017-18,Karnataka,1,Leather & Footwear,41-64,Micro,EXIM Bank of India,Packing Credit,773886,1889140,36.8,USA,Low,No,Yes,38,Medium,No
IES001491,2022-09-09,FY2022-23,Punjab,2,Electronic Components,85-90,Small,Indian Bank,Pre-Shipment Credit,3999127,13154733,45.7,Bangladesh,Medium,No,Yes,35,Medium,Yes
IES001492,2015-04-28,FY2015-16,Tamil Nadu,1,Textiles & Apparel,50-63,Small,EXIM Bank of India,Post-Shipment Credit,1566182,4144697,11.6,UAE,Low,No,Yes,13,Low,Yes
IES001493,2016-10-03,FY2016-17,Punjab,2,Agriculture & Food Products,01-24,Micro,HDFC Bank,Packing Credit,377456,905778,37.1,Bangladesh,Medium,No,Yes,55,Medium,Yes
IES001494,2023-06-21,FY2023-24,Odisha,3,Chemicals & Pharma,28-30,Medium,Bank of Baroda,Export Factoring,7087329,23408288,39.8,USA,Low,No,Yes,30,Medium,Yes
IES001495,2023-03-25,FY2022-23,Assam,3,Leather & Footwear,41-64,Medium,Indian Bank,Post-Shipment Credit,4176783,8822464,28.5,Others,Medium,Yes,Yes,73,High,No
IES001496,2015-06-09,FY2015-16,Odisha,3,Marine Products,03,Small,Canara Bank,Pre-Shipment Credit,637812,2489262,14.0,UK,Low,No,Yes,20,Low,Yes
IES001497,2023-01-25,FY2022-23,Rajasthan,2,Marine Products,03,Small,HDFC Bank,ECGC-backed Term Loan,1274942,2009367,39.5,Turkey,Medium,No,No,50,Medium,No
IES001498,2016-10-07,FY2016-17,Maharashtra,1,Chemicals & Pharma,28-30,Medium,Indian Bank,Packing Credit,5435416,13307550,7.8,China,Medium,No,Yes,10,Low,No
IES001499,2019-02-19,FY2018-19,Tamil Nadu,1,Textiles & Apparel,50-63,Small,HDFC Bank,Pre-Shipment Credit,1270006,3378751,9.0,UK,Low,No,Yes,13,Low,No
IES001500,2020-08-08,FY2020-21,Gujarat,1,Gems & Jewellery,71,Micro,State Bank of India,Packing Credit,2958025,5742975,19.9,Others,Medium,No,No,30,Medium,No
IES001501,2019-03-25,FY2018-19,Tamil Nadu,1,Marine Products,03,Micro,EXIM Bank of India,Pre-Shipment Credit,430187,804338,20.4,Others,Medium,No,Yes,45,Medium,No
IES001502,2016-09-18,FY2016-17,Rajasthan,2,Chemicals & Pharma,28-30,Small,Axis Bank,Pre-Shipment Credit,3375421,14440654,13.1,Egypt,High,Yes,Yes,65,High,No
IES001503,2021-07-12,FY2021-22,Odisha,3,Plastics & Rubber,39-40,Micro,Bank of India,ECGC-backed Term Loan,763258,3170143,32.7,UK,Low,No,No,38,Medium,No
IES001504,2020-12-19,FY2020-21,Haryana,2,Plastics & Rubber,39-40,Medium,EXIM Bank of India,Post-Shipment Credit,4356127,13520014,14.8,Germany,Low,No,Yes,18,Low,Yes
IES001505,2022-08-23,FY2022-23,Tamil Nadu,1,Marine Products,03,Medium,Bank of Baroda,ECGC-backed Term Loan,1213680,4587068,21.9,Iran,High,No,No,50,Medium,No
IES001506,2016-04-12,FY2016-17,Madhya Pradesh,2,Textiles & Apparel,50-63,Micro,Canara Bank,Export Bill Discounting,558185,2431558,41.9,UAE,Low,No,Yes,38,Medium,Yes
IES001507,2016-05-09,FY2016-17,Maharashtra,1,Engineering Goods,84-85,Micro,EXIM Bank of India,Export Factoring,3045495,5021466,17.9,Nigeria,High,No,Yes,45,Medium,No
IES001508,2023-02-18,FY2022-23,Haryana,2,Textiles & Apparel,50-63,Micro,State Bank of India,ECGC-backed Term Loan,1058287,3063856,16.3,China,Medium,No,No,38,Medium,No
IES001509,2016-07-05,FY2016-17,Maharashtra,1,Textiles & Apparel,50-63,Micro,Indian Bank,Post-Shipment Credit,1040243,2882836,22.1,USA,Low,No,Yes,28,Low,Yes
IES001510,2023-07-08,FY2023-24,Uttar Pradesh,2,Leather & Footwear,41-64,Small,HDFC Bank,Export Factoring,1505723,6602071,27.2,Brazil,Medium,No,Yes,33,Medium,No
IES001511,2015-11-13,FY2015-16,Gujarat,1,Engineering Goods,84-85,Micro,Union Bank of India,Export Bill Discounting,973646,4117203,33.4,USA,Low,No,Yes,30,Medium,No
IES001512,2017-03-26,FY2016-17,Telangana,2,Leather & Footwear,41-64,Micro,EXIM Bank of India,Post-Shipment Credit,589577,2232447,45.6,USA,Low,No,Yes,38,Medium,Yes
IES001513,2021-12-16,FY2021-22,Punjab,2,Leather & Footwear,41-64,Micro,EXIM Bank of India,ECGC-backed Term Loan,412666,1669405,23.2,Germany,Low,Yes,No,63,High,No
IES001514,2019-08-23,FY2019-20,Telangana,2,Textiles & Apparel,50-63,Medium,HDFC Bank,Export Bill Discounting,2233910,8671603,52.0,USA,Low,Yes,Yes,63,High,No
IES001515,2021-05-11,FY2021-22,West Bengal,2,Marine Products,03,Micro,Bank of India,ECGC-backed Term Loan,555753,2175935,47.3,USA,Low,No,No,45,Medium,No
IES001516,2021-03-24,FY2020-21,West Bengal,2,Textiles & Apparel,50-63,Small,Bank of India,Export Bill Discounting,1708086,4586484,7.6,Bangladesh,Medium,No,Yes,23,Low,Yes
IES001517,2022-09-01,FY2022-23,Telangana,2,Agriculture & Food Products,01-24,Micro,Bank of India,Post-Shipment Credit,871645,2485104,42.4,Bangladesh,Medium,No,Yes,55,Medium,No
IES001518,2021-11-25,FY2021-22,Haryana,2,Agriculture & Food Products,01-24,Medium,SIDBI,Packing Credit,1295492,3330641,36.7,Iran,High,No,Yes,60,High,Yes
IES001519,2021-11-01,FY2021-22,Chhattisgarh,3,Chemicals & Pharma,28-30,Micro,SIDBI,ECGC-backed Term Loan,1954963,6132890,15.2,Sri Lanka,Medium,No,No,30,Medium,No
IES001520,2022-03-05,FY2021-22,Odisha,3,Chemicals & Pharma,28-30,Micro,Canara Bank,Post-Shipment Credit,1230518,2923382,42.4,China,Medium,No,Yes,40,Medium,Yes
IES001521,2020-07-11,FY2020-21,Maharashtra,1,Plastics & Rubber,39-40,Micro,ICICI Bank,Export Bill Discounting,328426,1445670,40.8,USA,Low,No,Yes,38,Medium,No
IES001522,2021-11-09,FY2021-22,Chhattisgarh,3,Chemicals & Pharma,28-30,Micro,Indian Bank,Pre-Shipment Credit,1542122,6741239,26.4,Singapore,Low,No,Yes,20,Low,No
IES001523,2023-02-06,FY2022-23,Tamil Nadu,1,Leather & Footwear,41-64,Micro,HDFC Bank,Post-Shipment Credit,903475,2778319,40.4,Singapore,Low,Yes,Yes,73,High,No
IES001524,2020-02-18,FY2019-20,Gujarat,1,Gems & Jewellery,71,Micro,SIDBI,Export Factoring,3501424,7901028,27.3,South Africa,Medium,No,No,30,Medium,No
IES001525,2019-09-22,FY2019-20,Andhra Pradesh,2,Chemicals & Pharma,28-30,Micro,HDFC Bank,Pre-Shipment Credit,1755923,2638854,7.0,UK,Low,No,Yes,10,Low,Yes
IES001526,2021-03-19,FY2020-21,Gujarat,1,Agriculture & Food Products,01-24,Small,HDFC Bank,Export Bill Discounting,592028,2623780,17.1,China,Medium,No,Yes,40,Medium,Yes
IES001527,2018-06-05,FY2018-19,Bihar,3,Electronic Components,85-90,Small,Union Bank of India,ECGC-backed Term Loan,8368940,26378743,12.7,Others,Medium,No,No,15,Low,No
IES001528,2018-12-07,FY2018-19,Rajasthan,2,Engineering Goods,84-85,Small,Bank of Baroda,Packing Credit,5678662,20922174,35.0,UAE,Low,No,Yes,25,Low,Yes
IES001529,2022-11-23,FY2022-23,Punjab,2,Gems & Jewellery,71,Small,SIDBI,Post-Shipment Credit,9577241,42391081,33.7,USA,Low,No,No,25,Low,No
IES001530,2017-10-04,FY2017-18,Haryana,2,Engineering Goods,84-85,Micro,Union Bank of India,ECGC-backed Term Loan,2987423,7543014,37.4,Singapore,Low,No,No,30,Medium,No
IES001531,2023-01-13,FY2022-23,Gujarat,1,Gems & Jewellery,71,Small,HDFC Bank,Export Bill Discounting,6211854,24519654,34.9,Others,Medium,No,No,35,Medium,No
IES001532,2019-01-31,FY2018-19,Punjab,2,Gems & Jewellery,71,Small,Bank of India,Post-Shipment Credit,5703985,15291850,28.7,Nigeria,High,No,No,40,Medium,No
IES001533,2018-10-10,FY2018-19,Karnataka,1,Engineering Goods,84-85,Micro,Union Bank of India,Post-Shipment Credit,2090539,8589918,9.4,UAE,Low,Yes,Yes,45,Medium,No
IES001534,2021-05-11,FY2021-22,Tamil Nadu,1,Chemicals & Pharma,28-30,Micro,SIDBI,Export Factoring,2192452,8397957,47.4,Germany,Low,No,Yes,30,Medium,Yes
IES001535,2019-11-20,FY2019-20,Tamil Nadu,1,Electronic Components,85-90,Micro,Canara Bank,Export Factoring,2593021,5176964,40.3,Germany,Low,No,Yes,30,Medium,Yes
IES001536,2021-01-08,FY2020-21,Uttar Pradesh,2,Chemicals & Pharma,28-30,Small,Bank of India,Packing Credit,1655324,5141508,36.8,UAE,Low,No,Yes,25,Low,Yes
IES001537,2021-07-01,FY2021-22,Tamil Nadu,1,Engineering Goods,84-85,Small,EXIM Bank of India,Export Factoring,3119107,5066964,21.1,South Africa,Medium,Yes,Yes,60,High,No
IES001538,2023-04-29,FY2023-24,Andhra Pradesh,2,Chemicals & Pharma,28-30,Micro,Bank of Baroda,Post-Shipment Credit,1667199,5300415,47.9,Singapore,Low,No,Yes,30,Medium,No
IES001539,2018-05-18,FY2018-19,Telangana,2,Agriculture & Food Products,01-24,Small,SIDBI,Export Bill Discounting,801179,3492627,41.0,UK,Low,No,Yes,40,Medium,Yes
IES001540,2023-10-31,FY2023-24,Punjab,2,Plastics & Rubber,39-40,Medium,ICICI Bank,Pre-Shipment Credit,7546554,32378456,31.4,Brazil,Medium,No,Yes,48,Medium,Yes
IES001541,2019-07-26,FY2019-20,Gujarat,1,Handicrafts,97,Micro,Indian Bank,ECGC-backed Term Loan,200042,481766,31.6,USA,Low,Yes,No,80,High,No
IES001542,2018-07-29,FY2018-19,Chhattisgarh,3,Chemicals & Pharma,28-30,Small,EXIM Bank of India,Packing Credit,4570466,14594639,35.0,Singapore,Low,No,Yes,25,Low,Yes
IES001543,2019-12-09,FY2019-20,Maharashtra,1,Plastics & Rubber,39-40,Small,State Bank of India,Post-Shipment Credit,1435849,4812366,53.5,Bangladesh,Medium,No,Yes,43,Medium,Yes
IES001544,2015-09-26,FY2015-16,Andhra Pradesh,2,Electronic Components,85-90,Micro,ICICI Bank,Post-Shipment Credit,1767766,6510493,51.1,Turkey,Medium,No,Yes,40,Medium,Yes
IES001545,2019-08-15,FY2019-20,Rajasthan,2,Handicrafts,97,Micro,Union Bank of India,Export Factoring,295478,613433,38.3,UK,Low,No,Yes,45,Medium,No
IES001546,2021-06-01,FY2021-22,West Bengal,2,Marine Products,03,Small,Axis Bank,ECGC-backed Term Loan,1132654,3817201,35.1,USA,Low,No,No,40,Medium,No
IES001547,2018-07-04,FY2018-19,Maharashtra,1,Plastics & Rubber,39-40,Micro,Bank of India,Post-Shipment Credit,2599449,6507272,31.0,Sri Lanka,Medium,No,Yes,48,Medium,No
IES001548,2019-01-29,FY2018-19,Madhya Pradesh,2,Agriculture & Food Products,01-24,Micro,Indian Bank,ECGC-backed Term Loan,349249,730862,45.3,Germany,Low,No,No,45,Medium,No
IES001549,2019-07-21,FY2019-20,Uttar Pradesh,2,Gems & Jewellery,71,Micro,Canara Bank,Export Bill Discounting,7008832,19716899,18.8,USA,Low,No,No,20,Low,No
IES001550,2021-09-15,FY2021-22,Karnataka,1,Plastics & Rubber,39-40,Small,Canara Bank,Packing Credit,1040851,3304195,22.4,China,Medium,No,Yes,33,Medium,No
IES001551,2018-05-10,FY2018-19,Punjab,2,Engineering Goods,84-85,Medium,Axis Bank,Pre-Shipment Credit,5157875,19142923,6.8,Egypt,High,No,Yes,25,Low,No
IES001552,2019-11-14,FY2019-20,Karnataka,1,Electronic Components,85-90,Micro,Bank of Baroda,Pre-Shipment Credit,2888628,8447235,21.8,Others,Medium,No,Yes,30,Medium,No
IES001553,2020-05-09,FY2020-21,Tamil Nadu,1,Engineering Goods,84-85,Micro,State Bank of India,Pre-Shipment Credit,2762164,8162343,9.3,UAE,Low,No,Yes,10,Low,No
IES001554,2018-06-01,FY2018-19,Jharkhand,3,Engineering Goods,84-85,Micro,HDFC Bank,Post-Shipment Credit,2739912,12103243,30.9,Turkey,Medium,No,Yes,40,Medium,Yes
IES001555,2023-08-18,FY2023-24,Tamil Nadu,1,Electronic Components,85-90,Micro,Bank of India,ECGC-backed Term Loan,1901466,5610264,26.5,Singapore,Low,No,No,20,Low,No
IES001556,2021-04-16,FY2021-22,Maharashtra,1,Plastics & Rubber,39-40,Medium,SIDBI,Post-Shipment Credit,3695110,6372910,10.3,Vietnam,Low,No,Yes,18,Low,Yes
IES001557,2016-08-22,FY2016-17,Andhra Pradesh,2,Marine Products,03,Small,Punjab National Bank,Pre-Shipment Credit,657469,1370740,30.2,UAE,Low,No,Yes,40,Medium,Yes
IES001558,2022-04-01,FY2022-23,Uttarakhand,3,Engineering Goods,84-85,Medium,SIDBI,Export Factoring,12455562,47408875,8.1,Egypt,High,No,Yes,35,Medium,Yes
IES001559,2015-08-25,FY2015-16,Tamil Nadu,1,Electronic Components,85-90,Micro,HDFC Bank,Export Factoring,1841837,2964221,7.6,UK,Low,No,Yes,10,Low,Yes
IES001560,2024-01-02,FY2023-24,Gujarat,1,Agriculture & Food Products,01-24,Micro,Axis Bank,Packing Credit,569238,2278370,10.9,Germany,Low,No,Yes,25,Low,Yes
IES001561,2018-03-11,FY2017-18,Telangana,2,Marine Products,03,Medium,SIDBI,Export Bill Discounting,1749411,7053590,18.1,South Africa,Medium,Yes,Yes,80,High,No
IES001562,2019-06-10,FY2019-20,Tamil Nadu,1,Agriculture & Food Products,01-24,Medium,HDFC Bank,Export Factoring,1778399,4917518,7.0,South Africa,Medium,No,Yes,25,Low,Yes
IES001563,2024-02-15,FY2023-24,Gujarat,1,Agriculture & Food Products,01-24,Medium,Bank of India,Post-Shipment Credit,4993260,16041952,21.6,Bangladesh,Medium,No,Yes,45,Medium,No
IES001564,2019-03-21,FY2018-19,Karnataka,1,Plastics & Rubber,39-40,Micro,ICICI Bank,Export Factoring,524028,1282086,10.3,Turkey,Medium,No,Yes,28,Low,Yes
IES001565,2024-03-06,FY2023-24,Chhattisgarh,3,Leather & Footwear,41-64,Micro,EXIM Bank of India,Packing Credit,538635,2046698,53.3,South Africa,Medium,No,Yes,48,Medium,No
IES001566,2023-10-20,FY2023-24,Uttar Pradesh,2,Plastics & Rubber,39-40,Micro,EXIM Bank of India,ECGC-backed Term Loan,808077,3563800,48.3,UAE,Low,No,No,38,Medium,No
IES001567,2016-07-25,FY2016-17,Punjab,2,Marine Products,03,Small,Bank of India,Post-Shipment Credit,1364826,3215007,36.5,USA,Low,No,Yes,40,Medium,No
IES001568,2016-12-10,FY2016-17,Gujarat,1,Textiles & Apparel,50-63,Small,Punjab National Bank,Post-Shipment Credit,2478744,7106431,29.1,Brazil,Medium,No,Yes,33,Medium,Yes
IES001569,2016-07-07,FY2016-17,Maharashtra,1,Engineering Goods,84-85,Medium,Union Bank of India,Post-Shipment Credit,7238972,17765297,51.2,UAE,Low,No,Yes,20,Low,Yes
IES001570,2022-05-31,FY2022-23,Karnataka,1,Agriculture & Food Products,01-24,Small,State Bank of India,ECGC-backed Term Loan,1358588,2267038,29.3,South Africa,Medium,No,No,40,Medium,No
IES001571,2020-07-16,FY2020-21,Tamil Nadu,1,Electronic Components,85-90,Small,HDFC Bank,ECGC-backed Term Loan,4133891,12977198,17.5,Bangladesh,Medium,No,No,25,Low,No
IES001572,2022-04-17,FY2022-23,Uttar Pradesh,2,Agriculture & Food Products,01-24,Medium,Bank of India,Packing Credit,2795791,7072866,47.6,USA,Low,No,Yes,45,Medium,Yes
IES001573,2016-11-03,FY2016-17,West Bengal,2,Electronic Components,85-90,Medium,Indian Bank,Packing Credit,15204355,27348668,5.8,Turkey,Medium,No,Yes,20,Low,No
IES001574,2016-11-30,FY2016-17,Gujarat,1,Textiles & Apparel,50-63,Small,Bank of India,ECGC-backed Term Loan,5013510,22014600,23.8,USA,Low,No,No,33,Medium,No
IES001575,2021-09-20,FY2021-22,Gujarat,1,Marine Products,03,Small,Punjab National Bank,Export Factoring,527127,1870954,51.6,USA,Low,No,Yes,40,Medium,Yes
IES001576,2021-05-19,FY2021-22,Maharashtra,1,Chemicals & Pharma,28-30,Medium,Indian Bank,Pre-Shipment Credit,7465911,24092463,11.3,China,Medium,No,Yes,20,Low,Yes
IES001577,2022-08-19,FY2022-23,West Bengal,2,Plastics & Rubber,39-40,Small,ICICI Bank,ECGC-backed Term Loan,2702547,7348899,49.0,Sri Lanka,Medium,No,No,43,Medium,No
IES001578,2017-03-24,FY2016-17,Uttar Pradesh,2,Chemicals & Pharma,28-30,Micro,Punjab National Bank,Post-Shipment Credit,2129439,7338150,50.0,Turkey,Medium,No,Yes,40,Medium,Yes
IES001579,2017-05-10,FY2017-18,Gujarat,1,Marine Products,03,Medium,SIDBI,ECGC-backed Term Loan,1289344,3131913,15.1,UAE,Low,No,No,25,Low,No
IES001580,2021-04-23,FY2021-22,Tamil Nadu,1,Leather & Footwear,41-64,Medium,Indian Bank,Export Factoring,2685724,11351157,43.0,UK,Low,No,Yes,38,Medium,Yes
IES001581,2016-05-22,FY2016-17,Gujarat,1,Chemicals & Pharma,28-30,Micro,Axis Bank,Export Factoring,1200340,2463258,42.8,Nigeria,High,No,Yes,55,Medium,No
IES001582,2021-04-11,FY2021-22,Andhra Pradesh,2,Agriculture & Food Products,01-24,Small,Bank of Baroda,Packing Credit,1184385,3461334,16.3,China,Medium,No,Yes,40,Medium,Yes
IES001583,2021-05-05,FY2021-22,Maharashtra,1,Gems & Jewellery,71,Small,Indian Bank,Export Bill Discounting,5060226,12541824,28.4,Egypt,High,No,No,40,Medium,No
IES001584,2018-06-10,FY2018-19,Maharashtra,1,Chemicals & Pharma,28-30,Micro,Canara Bank,ECGC-backed Term Loan,2093792,4070069,54.2,USA,Low,No,No,30,Medium,No
IES001585,2023-10-09,FY2023-24,Rajasthan,2,Marine Products,03,Small,Indian Bank,Post-Shipment Credit,772526,1630496,43.5,USA,Low,No,Yes,40,Medium,Yes
IES001586,2018-06-15,FY2018-19,Tamil Nadu,1,Plastics & Rubber,39-40,Small,State Bank of India,Export Factoring,1550008,4303623,33.3,USA,Low,No,Yes,33,Medium,No
IES001587,2023-04-05,FY2023-24,Tamil Nadu,1,Chemicals & Pharma,28-30,Medium,Union Bank of India,Packing Credit,14377196,59747552,9.3,UAE,Low,No,Yes,10,Low,Yes
IES001588,2022-07-19,FY2022-23,Maharashtra,1,Plastics & Rubber,39-40,Medium,Indian Bank,Export Factoring,3294886,10263864,50.7,Bangladesh,Medium,Yes,Yes,83,High,No
IES001589,2017-12-18,FY2017-18,Gujarat,1,Textiles & Apparel,50-63,Micro,Bank of Baroda,Export Factoring,1461789,2778988,51.8,Singapore,Low,No,Yes,38,Medium,Yes
IES001590,2020-07-25,FY2020-21,Madhya Pradesh,2,Plastics & Rubber,39-40,Medium,SIDBI,Pre-Shipment Credit,2132384,8005545,52.1,USA,Low,No,Yes,28,Low,Yes
IES001591,2020-10-18,FY2020-21,Karnataka,1,Leather & Footwear,41-64,Small,Canara Bank,Packing Credit,604531,2608275,18.8,Nigeria,High,No,Yes,48,Medium,No
IES001592,2017-08-02,FY2017-18,Punjab,2,Gems & Jewellery,71,Small,Bank of Baroda,Packing Credit,11648254,29080070,40.0,Singapore,Low,No,No,25,Low,No
IES001593,2023-05-14,FY2023-24,Andhra Pradesh,2,Chemicals & Pharma,28-30,Micro,State Bank of India,Export Bill Discounting,2543527,9450825,8.2,Sri Lanka,Medium,No,Yes,20,Low,Yes
